"date","code","site","o3","o3_normalised"
2020-07-27,"GB6","Greenwich - Falconwood",13.2670987840267,18.3832205387943
2020-07-28,"GB6","Greenwich - Falconwood",13.6596053432472,18.7818101721303
2020-07-29,"GB6","Greenwich - Falconwood",18.1272366621606,18.3924622591832
2020-07-30,"GB6","Greenwich - Falconwood",17.9843586775257,18.4530482581027
2020-07-31,"GB6","Greenwich - Falconwood",23.0825840966814,18.485867626064
2020-08-01,"GB6","Greenwich - Falconwood",13.9572035143343,18.573320721079
2020-08-02,"GB6","Greenwich - Falconwood",17.0261393023021,18.3011675380109
2020-08-03,"GB6","Greenwich - Falconwood",15.8379815645081,18.2275153383743
2020-08-04,"GB6","Greenwich - Falconwood",17.3476947201935,18.1383352385575
2020-08-05,"GB6","Greenwich - Falconwood",21.690074898039,18.5180162946972
2020-08-06,"GB6","Greenwich - Falconwood",12.3626616946433,18.1001499790645
2020-08-07,"GB6","Greenwich - Falconwood",19.5999991735595,18.3588270249151
2020-08-08,"GB6","Greenwich - Falconwood",25.9141746100894,18.4591290330995
2020-08-09,"GB6","Greenwich - Falconwood",28.9458140757962,18.1246704550033
2020-08-10,"GB6","Greenwich - Falconwood",24.3469537313667,18.3121284410957
2020-08-11,"GB6","Greenwich - Falconwood",21.2633372820034,18.6329189467281
2020-08-12,"GB6","Greenwich - Falconwood",27.0230571168364,18.4365353797038
2020-08-13,"GB6","Greenwich - Falconwood",23.1882332175472,18.1499948193734
2020-08-14,"GB6","Greenwich - Falconwood",13.4485995069872,17.9978756539954
2020-08-15,"GB6","Greenwich - Falconwood",7.20506156765586,18.6143922524101
2020-08-16,"GB6","Greenwich - Falconwood",9.91928177737607,18.5255869487532
2020-08-17,"GB6","Greenwich - Falconwood",12.86130465965,18.2478661881678
2020-08-18,"GB6","Greenwich - Falconwood",12.4124440801546,18.9007679317755
2020-08-19,"GB6","Greenwich - Falconwood",7.28323295600298,17.9236617599715
2020-08-20,"GB6","Greenwich - Falconwood",11.3236813939106,18.0774291561698
2020-08-21,"GB6","Greenwich - Falconwood",18.184648148588,17.8702308942756
2020-08-22,"GB6","Greenwich - Falconwood",20.1134622376861,18.442079504151
2020-08-23,"GB6","Greenwich - Falconwood",17.0758907550151,18.3564979076569
2020-08-24,"GB6","Greenwich - Falconwood",14.1009875640297,18.151819932178
2020-08-25,"GB6","Greenwich - Falconwood",16.3847084524506,18.23985394018
2020-08-26,"GB6","Greenwich - Falconwood",15.4467211502647,18.5151813060658
2020-08-27,"GB6","Greenwich - Falconwood",11.6370551855544,18.3843799163085
2020-08-28,"GB6","Greenwich - Falconwood",11.5423067765276,18.5643752848284
2020-08-29,"GB6","Greenwich - Falconwood",17.8874631726563,18.1778998470585
2020-08-30,"GB6","Greenwich - Falconwood",18.5525476611894,18.0459426239592
2020-08-31,"GB6","Greenwich - Falconwood",11.5619597791284,18.3112417495577
2020-09-01,"GB6","Greenwich - Falconwood",11.9748031935023,18.0310974440633
2020-09-02,"GB6","Greenwich - Falconwood",21.7384424396293,17.9708038614407
2020-09-03,"GB6","Greenwich - Falconwood",15.3870008150523,18.38580615863
2020-09-04,"GB6","Greenwich - Falconwood",14.5188885717138,18.0411429621894
2020-09-05,"GB6","Greenwich - Falconwood",11.2249193500467,17.8469904987559
2020-09-06,"GB6","Greenwich - Falconwood",11.1760003586112,18.1679865390407
2020-09-07,"GB6","Greenwich - Falconwood",10.8145909773166,18.4886006648003
2020-09-08,"GB6","Greenwich - Falconwood",9.96943795394693,17.9751857576731
2020-09-09,"GB6","Greenwich - Falconwood",10.1085228092103,18.1587513903185
2020-09-10,"GB6","Greenwich - Falconwood",10.3294236670316,17.897375658533
2020-09-11,"GB6","Greenwich - Falconwood",13.557462241921,17.9276475261508
2020-09-12,"GB6","Greenwich - Falconwood",18.6275420314009,18.3274261044454
2020-09-13,"GB6","Greenwich - Falconwood",16.1513597853196,18.1406352495205
2020-09-14,"GB6","Greenwich - Falconwood",9.18671697515012,18.2792917783597
2020-09-15,"GB6","Greenwich - Falconwood",10.3643944596978,18.3929598860291
2020-09-16,"GB6","Greenwich - Falconwood",21.385295812574,18.5331282748508
2020-09-17,"GB6","Greenwich - Falconwood",20.7506367677614,18.292685147589
2020-09-18,"GB6","Greenwich - Falconwood",19.3298241715585,18.0519376182335
2020-09-19,"GB6","Greenwich - Falconwood",22.5206741433163,17.9956475845346
2020-09-20,"GB6","Greenwich - Falconwood",21.7400319563272,18.3245851684323
2020-09-21,"GB6","Greenwich - Falconwood",12.1438214595194,18.0548448550789
2020-09-22,"GB6","Greenwich - Falconwood",23.3157608707467,18.2525704687646
2020-09-23,"GB6","Greenwich - Falconwood",24.4753616555357,18.1269609267323
2020-09-24,"GB6","Greenwich - Falconwood",16.1180172876785,18.0625070101601
2020-09-25,"GB6","Greenwich - Falconwood",14.8800293812002,18.5136561005491
2020-09-26,"GB6","Greenwich - Falconwood",19.1535709925194,18.3304196743613
2020-09-27,"GB6","Greenwich - Falconwood",21.6857547207109,18.4348400407974
2020-09-28,"GB6","Greenwich - Falconwood",11.5687657655472,18.6983812677477
2020-09-29,"GB6","Greenwich - Falconwood",5.66935695246774,18.3859193660067
2020-09-30,"GB6","Greenwich - Falconwood",16.5803689991445,17.9722633815411
2020-10-01,"GB6","Greenwich - Falconwood",13.1973507252216,18.1820701739496
2020-10-02,"GB6","Greenwich - Falconwood",14.6142335745629,18.2863119494633
2020-10-03,"GB6","Greenwich - Falconwood",15.8108270027693,18.4977692166458
2020-10-04,"GB6","Greenwich - Falconwood",20.6608558920675,18.3527765779228
2020-10-05,"GB6","Greenwich - Falconwood",13.5477312779592,18.4926316351286
2020-10-06,"GB6","Greenwich - Falconwood",16.3932133474684,18.3696814687723
2020-10-07,"GB6","Greenwich - Falconwood",13.51038585987,18.0606514766712
2020-10-08,"GB6","Greenwich - Falconwood",12.3221533071572,18.3378878499604
2020-10-09,"GB6","Greenwich - Falconwood",7.62035435942418,18.632389040089
2020-10-10,"GB6","Greenwich - Falconwood",13.4992083352382,18.1475807153095
2020-10-11,"GB6","Greenwich - Falconwood",10.7675158552262,18.2487532641633
2020-10-12,"GB6","Greenwich - Falconwood",8.53535650301323,18.8031907367095
2020-10-13,"GB6","Greenwich - Falconwood",9.16789270527793,18.7606076349897
2020-10-14,"GB6","Greenwich - Falconwood",13.5178845602593,18.1313268734889
2020-10-15,"GB6","Greenwich - Falconwood",13.8083451879899,18.3524142469461
2020-10-16,"GB6","Greenwich - Falconwood",9.3726188159944,18.6106969768308
2020-10-17,"GB6","Greenwich - Falconwood",13.227603520815,18.6760399736433
2020-10-18,"GB6","Greenwich - Falconwood",4.33416008044181,18.6181449800951
2020-10-19,"GB6","Greenwich - Falconwood",16.2204633606565,19.0140405027275
2020-10-20,"GB6","Greenwich - Falconwood",18.89772391109,18.4505407269696
2020-10-21,"GB6","Greenwich - Falconwood",13.0495000799855,18.5048592517471
2020-10-22,"GB6","Greenwich - Falconwood",18.7081389814075,17.9453580625374
2020-10-23,"GB6","Greenwich - Falconwood",15.4066676247901,18.4653258366208
2020-10-24,"GB6","Greenwich - Falconwood",23.4238564507179,18.5312425977587
2020-10-25,"GB6","Greenwich - Falconwood",19.9136512118778,18.3565894565994
2020-10-26,"GB6","Greenwich - Falconwood",16.8143854545807,18.7145737276826
2020-10-27,"GB6","Greenwich - Falconwood",17.4931797693607,18.6667924917164
2020-10-28,"GB6","Greenwich - Falconwood",21.9871357329385,18.1742222635172
2020-10-29,"GB6","Greenwich - Falconwood",22.867547939785,18.4758289832677
2020-10-30,"GB6","Greenwich - Falconwood",25.0094037531541,18.7476698754366
2020-10-31,"GB6","Greenwich - Falconwood",23.4532723796872,18.4654356330335
2020-11-01,"GB6","Greenwich - Falconwood",23.0292557541879,18.4133729729282
2020-11-02,"GB6","Greenwich - Falconwood",22.447833202385,18.7898443063463
2020-11-03,"GB6","Greenwich - Falconwood",19.4556574189124,18.4280751932298
2020-11-04,"GB6","Greenwich - Falconwood",5.22961215128666,18.4940780677737
2020-11-05,"GB6","Greenwich - Falconwood",2.06908293755093,18.4096628776391
2020-11-06,"GB6","Greenwich - Falconwood",2.71046586767573,18.8049314450837
2020-11-07,"GB6","Greenwich - Falconwood",1.70849165757941,18.5046308478164
2020-11-08,"GB6","Greenwich - Falconwood",2.24236563255223,18.1068126189582
2020-11-09,"GB6","Greenwich - Falconwood",4.4133083757549,18.267521682676
2020-11-10,"GB6","Greenwich - Falconwood",7.95452003468501,18.2101833076154
2020-11-11,"GB6","Greenwich - Falconwood",14.4093337341966,18.6657783809072
2020-11-12,"GB6","Greenwich - Falconwood",22.0994204450179,18.4882912683481
2020-11-13,"GB6","Greenwich - Falconwood",16.2504947650744,18.984167401018
2020-11-14,"GB6","Greenwich - Falconwood",23.1500475295537,18.6751644352801
2020-11-15,"GB6","Greenwich - Falconwood",27.518374882724,18.3705782655171
2020-11-16,"GB6","Greenwich - Falconwood",23.4822935531832,18.6821739465388
2020-11-17,"GB6","Greenwich - Falconwood",26.8529355674518,18.9999588275284
2020-11-18,"GB6","Greenwich - Falconwood",22.2007214463924,19.1334074834138
2020-11-19,"GB6","Greenwich - Falconwood",16.4641520826121,18.6822168377035
2020-11-20,"GB6","Greenwich - Falconwood",14.8337652804943,18.6490898509179
2020-11-21,"GB6","Greenwich - Falconwood",27.4378130558207,18.6263022186324
2020-11-22,"GB6","Greenwich - Falconwood",12.6267742402273,18.9099300262065
2020-11-23,"GB6","Greenwich - Falconwood",6.7526557993728,18.6039347640246
2020-11-24,"GB6","Greenwich - Falconwood",19.476947118021,18.7745128649498
2020-11-25,"GB6","Greenwich - Falconwood",12.892427952231,18.5023066133715
2020-11-26,"GB6","Greenwich - Falconwood",3.99458535581714,18.623024083745
2020-11-27,"GB6","Greenwich - Falconwood",1.30105872848864,18.6998307113397
2020-11-28,"GB6","Greenwich - Falconwood",1.31446885635179,18.33419071922
2020-11-29,"GB6","Greenwich - Falconwood",4.61978119846033,18.4327465172604
2020-11-30,"GB6","Greenwich - Falconwood",6.1180606189997,18.390548328417
2020-12-01,"GB6","Greenwich - Falconwood",13.1536975120071,18.3087163458927
2020-12-02,"GB6","Greenwich - Falconwood",4.21475839032726,18.2451211372973
2020-12-03,"GB6","Greenwich - Falconwood",11.2420344370752,18.7136135953855
2020-12-04,"GB6","Greenwich - Falconwood",11.0445942506652,18.7716162160575
2020-12-05,"GB6","Greenwich - Falconwood",9.0044945591297,18.0923315187435
2020-12-06,"GB6","Greenwich - Falconwood",6.9133116685352,18.4620638553193
2020-12-07,"GB6","Greenwich - Falconwood",2.30439874895791,18.7077744393388
2020-12-08,"GB6","Greenwich - Falconwood",1.69767220753314,18.4850604350205
2020-12-09,"GB6","Greenwich - Falconwood",5.83817113954965,18.3249890950622
2020-12-10,"GB6","Greenwich - Falconwood",10.0523378982255,18.4574991394109
2020-12-11,"GB6","Greenwich - Falconwood",8.06409284505327,18.6109308485971
2020-12-12,"GB6","Greenwich - Falconwood",7.20190104364088,18.7432278220781
2020-12-13,"GB6","Greenwich - Falconwood",15.5340086287754,18.2202485741402
2020-12-14,"GB6","Greenwich - Falconwood",24.5831213886456,18.3126839111985
